2020-04-15 18:33:52.946 WARN  [26240] [main@49] ---------

2020-04-15 18:33:52.948 WARN  [26240] [main@50] Simulation started.

2020-04-15 18:33:52.949 WARN  [26240] [roc::simulator_main@387] Period of files is from 2007-01-01 to 2020-01-31

2020-04-15 18:33:52.949 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2006/12/31/MIN1
2020-04-15 18:33:52.950 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/01/06/MIN1
2020-04-15 18:33:52.950 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/01/13/MIN1
2020-04-15 18:33:52.950 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/01/20/MIN1
2020-04-15 18:33:52.954 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/01/27/MIN1
2020-04-15 18:33:52.954 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/02/03/MIN1
2020-04-15 18:33:52.955 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/02/10/MIN1
2020-04-15 18:33:52.955 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/02/17/MIN1
2020-04-15 18:33:52.956 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/02/24/MIN1
2020-04-15 18:33:52.956 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/03/03/MIN1
2020-04-15 18:33:52.957 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/03/10/MIN1
2020-04-15 18:33:52.957 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/03/17/MIN1
2020-04-15 18:33:52.957 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/03/24/MIN1
2020-04-15 18:33:52.958 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/03/31/MIN1
2020-04-15 18:33:52.959 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/04/07/MIN1
2020-04-15 18:33:52.959 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/04/14/MIN1
2020-04-15 18:33:52.960 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/04/21/MIN1
2020-04-15 18:33:52.960 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/04/28/MIN1
2020-04-15 18:33:52.961 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/05/05/MIN1
2020-04-15 18:33:52.961 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/05/12/MIN1
2020-04-15 18:33:52.962 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/05/19/MIN1
2020-04-15 18:33:52.963 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/05/26/MIN1
2020-04-15 18:33:52.963 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/06/02/MIN1
2020-04-15 18:33:52.964 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/06/09/MIN1
2020-04-15 18:33:52.964 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/06/16/MIN1
2020-04-15 18:33:52.965 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/06/23/MIN1
2020-04-15 18:33:52.968 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/06/30/MIN1
2020-04-15 18:33:52.968 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/07/07/MIN1
2020-04-15 18:33:52.969 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/07/14/MIN1
2020-04-15 18:33:52.969 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/07/21/MIN1
2020-04-15 18:33:52.970 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/07/28/MIN1
2020-04-15 18:33:52.971 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/08/04/MIN1
2020-04-15 18:33:52.972 ERROR [26240] [roc::get_tick_timeframe_data@210] Data file is not found.   ../RocEdgeAppsData/tf_data/DUKAS/EURUSD/2007/08/11/MIN1
